item_number,description,color,gender,age,emotion
3626cpb1682,"Minifigure, Head Dual Sided Black Glasses with White Lenses, Sideburns and Moustache, Neutral / Smiling Pattern (John)",Light Nougat,male,young adult,smile
3626bpb0485,"Minifigure, Head Dual Sided HP Dumbledore Glasses / No Glasses Pattern",Light Nougat,neutral,young adult,neutral
3626bpb0485,"Minifigure, Head Dual Sided HP Dumbledore Glasses / No Glasses Pattern",Light Nougat,neutral,young adult,smile
3626cpb0485,"Minifigure, Head Dual Sided HP Dumbledore Glasses / No Glasses Pattern",Light Nougat,neutral,young adult,neutral
3626cpb0485,"Minifigure, Head Dual Sided HP Dumbledore Glasses / No Glasses Pattern",Light Nougat,neutral,young adult,smile
3626bpb0637,"Minifigure, Head Dual Sided White Headband and Cheek Lines, Frown / Determined Pattern (Batman)",Light Nougat,neutral,young adult,neutral
3626bpb0637,"Minifigure, Head Dual Sided White Headband and Cheek Lines, Frown / Determined Pattern (Batman)",Light Nougat,neutral,young adult,smile
3626cpb1361,"Minifigure, Head Dual Sided Beard, Brown Eyebrows, Moustache, White Pupils, Neutral / Raised Left Eyebrow Pattern (SW Qui-Gon)",Light Nougat,male,young adult,neutral
3626cpb1361,"Minifigure, Head Dual Sided Beard, Brown Eyebrows, Moustache, White Pupils, Neutral / Raised Left Eyebrow Pattern (SW Qui-Gon)",Light Nougat,male,young adult,smirk
3626cpb1468,"Minifigure, Head Beard Black Full, Black Eyebrows, White Pupils Pattern",Light Nougat,male,young adult,neutral
3626cpb2486,"Minifigure, Head Beard Black Full, Black Eyebrows, White Pupils, Med. Nougat Lines Under Eyes and Chin Pattern",Light Nougat,male,young adult,neutral
3626bpb0414,"Minifigure, Head Beard Black Full, Thick Black Eyebrows, White Pupils Pattern",Light Nougat,male,young adult,neutral
3626cpb1669,"Minifigure, Head Beard Brown Bushy Full, Brown Eyebrows, White Pupils, Smile Pattern (Shkodran Mustafi)",Light Nougat,male,young adult,neutral
3626bpb0977,"Minifigure, Head Beard Dark Brown Full, Dark Brown Eyebrows, White Pupils, Crow's Feet Pattern",Light Nougat,male,older adult,neutral
3626cpb1579,"Minifigure, Head Beard White Stubble, Black Eyebrows, Cheek Lines Pattern (Commander Gregor)",Light Nougat,male,young adult,neutral
3626bpb0620,"Minifigure, Head Beard with Brown Eyebrows, Moustache and Beard Pattern",Light Nougat,male,young adult,neutral
3626bpx325,"Minifigure, Head Beard with Dark Orange Trim Beard (round below mouth) and Eyebrows, Gold Headset Pattern",Light Nougat,male,young adult,neutral
3626cpb1172,"Minifigure, Head Beard with SW Gray Beard and Eyebrows, Furrowed Brow, White Pupils, Cheek Lines Pattern (SW Obi-Wan)",Light Nougat,male,young adult,neutral
3626bpb0263,"Minifigure, Head Beard with SW Gray Beard and Eyebrows, Lines under Eyes, Furrowed Brow Pattern",Light Nougat,male,young adult,neutral
3626cpb1976,"Minifigure, Head Dark Bluish Gray Eyebrows and Moustache, Silver and Gold Sunglasses Pattern",Light Nougat,male,young adult,neutral
